
1,trainingPathOrder,bottom-center,7,4,10,8,3,9,2,1,6,5
,,bottom-right,10,5,1,8,9,7,4,3,2,6
,,center-center,4,10,2,6,1,9,3,8,7,5
,,right-center,5,6,4,3,8,9,10,7,1,2
,testingPathOrder,bottom-center,17,14,20,18,13,19,12,11,16,15
,,bottom-right,20,15,11,18,19,17,14,13,12,16
,,center-center,14,20,12,16,11,19,13,18,17,15
,,right-center,15,16,14,13,18,19,20,17,11,12
2,trainingPathOrder,bottom-right,10,5,1,8,9,7,4,3,2,6
,,bottom-center,7,4,10,8,3,9,2,1,6,5
,,right-center,5,6,4,3,8,9,10,7,1,2
,,center-center,4,10,2,6,1,9,3,8,7,5
,testingPathOrder,bottom-right,20,15,11,18,19,17,14,13,12,16
,,bottom-center,17,14,20,18,13,19,12,11,16,15
,,right-center,15,16,14,13,18,19,20,17,11,12
,,center-center,14,20,12,16,11,19,13,18,17,15
3,trainingPathOrder,center-center,4,10,2,6,1,9,3,8,7,5
,,right-center,5,6,4,3,8,9,10,7,1,2
,,bottom-center,7,4,10,8,3,9,2,1,6,5
,,bottom-right,10,5,1,8,9,7,4,3,2,6
,testingPathOrder,center-center,14,20,12,16,11,19,13,18,17,15
,,right-center,15,16,14,13,18,19,20,17,11,12
,,bottom-center,17,14,20,18,13,19,12,11,16,15
,,bottom-right,20,15,11,18,19,17,14,13,12,16
4,trainingPathOrder,right-center,5,6,4,3,8,9,10,7,1,2
,,center-center,4,10,2,6,1,9,3,8,7,5
,,bottom-right,10,5,1,8,9,7,4,3,2,6
,,bottom-center,7,4,10,8,3,9,2,1,6,5
,testingPathOrder,right-center,15,16,14,13,18,19,20,17,11,12
,,center-center,14,20,12,16,11,19,13,18,17,15
,,bottom-right,20,15,11,18,19,17,14,13,12,16
,,bottom-center,17,14,20,18,13,19,12,11,16,15
5,trainingPathOrder,bottom-center,7,4,10,8,3,9,2,1,6,5
,,center-center,4,10,2,6,1,9,3,8,7,5
,,right-center,5,6,4,3,8,9,10,7,1,2
,,bottom-right,10,5,1,8,9,7,4,3,2,6
,testingPathOrder,bottom-center,17,14,20,18,13,19,12,11,16,15
,,center-center,14,20,12,16,11,19,13,18,17,15
,,right-center,15,16,14,13,18,19,20,17,11,12
,,bottom-right,20,15,11,18,19,17,14,13,12,16
6,trainingPathOrder,bottom-right,10,5,1,8,9,7,4,3,2,6
,,right-center,5,6,4,3,8,9,10,7,1,2
,,center-center,4,10,2,6,1,9,3,8,7,5
,,bottom-center,7,4,10,8,3,9,2,1,6,5
,testingPathOrder,bottom-right,20,15,11,18,19,17,14,13,12,16
,,right-center,15,16,14,13,18,19,20,17,11,12
,,center-center,14,20,12,16,11,19,13,18,17,15
,,bottom-center,17,14,20,18,13,19,12,11,16,15
7,trainingPathOrder,center-center,4,10,2,6,1,9,3,8,7,5
,,bottom-center,7,4,10,8,3,9,2,1,6,5
,,bottom-right,10,5,1,8,9,7,4,3,2,6
,,right-center,5,6,4,3,8,9,10,7,1,2
,testingPathOrder,center-center,14,20,12,16,11,19,13,18,17,15
,,bottom-center,17,14,20,18,13,19,12,11,16,15
,,bottom-right,20,15,11,18,19,17,14,13,12,16
,,right-center,15,16,14,13,18,19,20,17,11,12
8,trainingPathOrder,right-center,5,6,4,3,8,9,10,7,1,2
,,bottom-right,10,5,1,8,9,7,4,3,2,6
,,bottom-center,7,4,10,8,3,9,2,1,6,5
,,center-center,4,10,2,6,1,9,3,8,7,5
,testingPathOrder,right-center,15,16,14,13,18,19,20,17,11,12
,,bottom-right,20,15,11,18,19,17,14,13,12,16
,,bottom-center,17,14,20,18,13,19,12,11,16,15
,,center-center,14,20,12,16,11,19,13,18,17,15
9,trainingPathOrder,bottom-center,7,4,10,8,3,9,2,1,6,5
,,right-center,5,6,4,3,8,9,10,7,1,2
,,bottom-right,10,5,1,8,9,7,4,3,2,6
,,center-center,4,10,2,6,1,9,3,8,7,5
,testingPathOrder,bottom-center,17,14,20,18,13,19,12,11,16,15
,,right-center,15,16,14,13,18,19,20,17,11,12
,,bottom-right,20,15,11,18,19,17,14,13,12,16
,,center-center,14,20,12,16,11,19,13,18,17,15
10,trainingPathOrder,bottom-right,10,5,1,8,9,7,4,3,2,6
,,center-center,4,10,2,6,1,9,3,8,7,5
,,bottom-center,7,4,10,8,3,9,2,1,6,5
,,right-center,5,6,4,3,8,9,10,7,1,2
,testingPathOrder,bottom-right,20,15,11,18,19,17,14,13,12,16
,,center-center,14,20,12,16,11,19,13,18,17,15
,,bottom-center,17,14,20,18,13,19,12,11,16,15
,,right-center,15,16,14,13,18,19,20,17,11,12
11,trainingPathOrder,center-center,4,10,2,6,1,9,3,8,7,5
,,bottom-right,10,5,1,8,9,7,4,3,2,6
,,right-center,5,6,4,3,8,9,10,7,1,2
,,bottom-center,7,4,10,8,3,9,2,1,6,5
,testingPathOrder,center-center,14,20,12,16,11,19,13,18,17,15
,,bottom-right,20,15,11,18,19,17,14,13,12,16
,,right-center,15,16,14,13,18,19,20,17,11,12
,,bottom-center,17,14,20,18,13,19,12,11,16,15
12,trainingPathOrder,right-center,5,6,4,3,8,9,10,7,1,2
,,bottom-center,7,4,10,8,3,9,2,1,6,5
,,center-center,4,10,2,6,1,9,3,8,7,5
,,bottom-right,10,5,1,8,9,7,4,3,2,6
,testingPathOrder,right-center,15,16,14,13,18,19,20,17,11,12
,,bottom-center,17,14,20,18,13,19,12,11,16,15
,,center-center,14,20,12,16,11,19,13,18,17,15
,,bottom-right,20,15,11,18,19,17,14,13,12,16
